BrandName,Deatils,Sizes,MRP,SellPrice,Discount,Category
life,regular fit regular length cotton blend womens joggers - blue,"26,28,30,32,34,36",1299,649,50% off,Westernwear
kraus,baggy fit ankle length cotton womens jeans - blue,"28,30,32,34",1695,847,50% off,Westernwear
zink london,printed polyester boat neck womens top - navy,"Large,Medium,Small,X-Large,X-Small,XX-Large",1799,1079,40% off,Westernwear
life,embroidered viscose blend round neck womens t-shirt - pink,"Large,Medium,Small,X-Large,X-Small",899,449,50% off,Westernwear
fratini,printed viscose collar neck womens a-line dress - yellow,"Large,Medium,Small,X-Large,XX-Large",1599,799,50% off,Westernwear
faballey,floral georgette round neck womens dress - blue,"Small,X-Small",2400,1920,20% off,Westernwear
rare,solid polyester choker neck womens regular top - black,"Large,Medium,Small,X-Large",1299,584,55% off,Westernwear
rare,floral polyester round neck womens regular top - multi,"Large,Medium,Small,X-Large",1399,559,60% off,Westernwear
life,regular fit regular length cotton lycra womens jeans - black,"26,28,30,32,34",999,499,50% off,Westernwear
zink london,solid cotton round neck womens top - lavender,"Large,Medium,Small,X-Large,X-Small,XX-Large",1899,1139,40% off,Westernwear
zink london,checks round neck cotton womens a-line dress - multi,"Large,Medium,Small,X-Large,X-Small,XX-Large",2799,1399,50% off,Westernwear
stop,solid regular neck cotton blend womens formal shirt - pink,"Large,Medium,Small,X-Large,X-Small,XX-Large",899,449,50% off,Westernwear
only,solid viscose womens cropped top - pink,"Large,Medium,Small,X-Large,X-Small",1799,1079,40% off,Westernwear
life,printed viscose wide neck womens a-line dress - sage,"Large,Medium,Small,X-Large,X-Small",1499,749,50% off,Westernwear
life,embroidered blended round neck womens top - natural,"Large,Medium,Small,X-Large,X-Small",1199,599,50% off,Westernwear
latin quarters,printed v neck polyester womens regular fit dresses - peach,"S,M,L,XL",2699,1889,30% off,Westernwear
rare,solid polyester mandarin womens regular top - green,"Medium,Small",1299,519,60% off,Westernwear
latin quarters,dyed rayon blend womens casual wear shrug - peach,"S,M,L,XL,XX-Large",1399,699,50% off,Westernwear
life,solid denim collar neck womens denim jacket - mid stone,"Large,Medium,Small,X-Large,X-Small",1899,949,50% off,Westernwear
rare,solid crepe tie up neck�womens regular top - grey,"Large,Medium",1399,559,60% off,Westernwear
zink london,floral polyester round neck womens short dress - blue,"Large,Medium,Small,X-Large,X-Small,XX-Large",2199,1319,40% off,Westernwear
rare,solid crepe round neck womens regular top - maroon,Small,1099,549,50% off,Westernwear
allen solly,printed round neck rayon womens fit and flare dress - red,"Large,Medium,Small,X-Large,X-Small,XX-Large",2499,1499,40% off,Westernwear
life,regular fit regular length cotton lycra womens jeans - dk indigo,"26,28,30,32,36",999,499,50% off,Westernwear
rare,solid crepe round neck womens regular top - maroon,"Large,Medium,Small,X-Large",999,499,50% off,Westernwear
rare,floral crepe round neck womens flared dress - cream,"Large,Small,X-Large",1599,719,55% off,Westernwear
life,womens viscose collar checks shirts - orange,"Small,X-Small",899,449,50% off,Westernwear
rare,solid modal round neck womens regular top - mustard,X-Large,1499,599,60% off,Westernwear
van heusen,textured polyester round neck womens jacket - navy,"Large,Medium,Small,X-Large,X-Small",3499,1499,57% off,Westernwear
life,printed jersey round neck womens t-shirt - blue,"Large,Medium,Small,X-Large,X-Small",699,349,50% off,Westernwear
rare,solid polyester boat neck womens regular top - maroon,"Large,Medium,Small,X-Large",1499,599,60% off,Westernwear
life,solid viscose blend round neck womens t-shirt - orange,"Large,Medium,Small,X-Large,X-Small",699,349,50% off,Westernwear
stop,printed regular neck chambray womens formal shirt - blue,"Large,Medium,Small,X-Large,XX-Large",899,449,50% off,Westernwear
madame,solid georgette square neck womens regular top - mint,"Large,Medium,Small,X-Large,XX-Large",1699,849,50% off,Westernwear
rare,floral georgette round neck womens flared dress - black,"Large,Medium,Small,X-Large",1899,854,55% off,Westernwear
rare,solid polyester blend sweetheart neck womens bodycon dress - green,"Large,Medium,X-Large",2399,1079,55% off,Westernwear
zink london,textured polyester boat neck womens dress - black,"Large,Medium,Small,X-Large,X-Small,XX-Large",2699,1619,40% off,Westernwear
latin quarters,solid polyester womens regular dress - purple,"S,M,L,XL",2399,1199,50% off,Westernwear
zink london,solid regular fit cotton womens trousers - grey,"Small,X-Large",1899,1139,40% off,Westernwear
sera,womens regular fit solid tie up neck peplum top - red,"Large,Small,X-Large",1198,359,70% off,Westernwear
rare,solid comfort fit polyester womens casual wear trousers - brown,"Large,Medium,Small,X-Large",1899,854,55% off,Westernwear
